timestep	num_particles	ndof	translational_ndof	rotational_ndof	potential_energy	kinetic_energy	translational_kinetic_energy	rotational_kinetic_energy	temperature	pressure	volume
608000	9004	4997	2997	2000	-42424.07376	12428.74389	7419.259146	5009.484743	4.974482245	2.274803003	10869.87079
609000	9004	4997	2997	2000	-42269.97791	12290.16714	7447.994933	4842.172208	4.919018268	2.417369508	10866.83779
610000	9004	4997	2997	2000	-42458.586	12673.14868	7849.535083	4823.613601	5.072302855	2.771759627	10816.42873
611000	9004	4997	2997	2000	-42503.37219	12634.4878	7522.645805	5111.841999	5.056829219	2.481427117	10856.72648
612000	9004	4997	2997	2000	-42765.95537	12714.1443	7721.101626	4993.042679	5.088710948	2.173447649	10899.97383
613000	9004	4997	2997	2000	-42689.78273	12810.04045	7628.949789	5181.090662	5.127092436	2.466109258	10788.81319
614000	9004	4997	2997	2000	-42793.0103	12678.49376	7537.254795	5141.23897	5.074442171	2.147714696	10849.50998
615000	9004	4997	2997	2000	-42771.6441	12638.57734	7335.451243	5303.126102	5.058466018	2.379879219	10801.19944
616000	9004	4997	2997	2000	-43142.31989	12861.81633	7885.358811	4976.457514	5.147815219	2.659775793	10768.86201
617000	9004	4997	2997	2000	-42509.40477	11830.28542	7035.313785	4794.971633	4.73495514	2.560880648	10794.80713
618000	9004	4997	2997	2000	-43285.57853	12445.2981	7564.226591	4881.071512	4.981107906	2.192947971	10714.43795
619000	9004	4997	2997	2000	-43590.03137	12468.7386	7415.996355	5052.742243	4.990489733	2.636570808	10661.78332
620000	9004	4997	2997	2000	-43931.36175	12654.2267	7419.893187	5234.333514	5.064729518	2.03810625	10624.10019
621000	9004	4997	2997	2000	-43805.81561	12358.3196	7621.275938	4737.043663	4.946295618	2.188610619	10629.29802
622000	9004	4997	2997	2000	-43512.39028	11840.0677	7339.12071	4500.946986	4.738870401	2.154886036	10701.15558
623000	9004	4997	2997	2000	-43960.79987	12419.17387	7467.96207	4951.211798	4.970651938	2.277734663	10682.44487
624000	9004	4997	2997	2000	-44039.68384	12769.70641	7751.696622	5018.009792	5.110949135	2.239000287	10623.98229
625000	9004	4997	2997	2000	-44045.22445	12881.41496	7736.970428	5144.444535	5.155659381	2.429248692	10632.07853
626000	9004	4997	2997	2000	-43308.64823	12158.00292	7411.062719	4746.940205	4.866120842	2.249286537	10750.79588
627000	9004	4997	2997	2000	-43439.1356	12559.19037	7600.635147	4958.555225	5.026692164	2.026199533	10771.50369
628000	9004	4997	2997	2000	-42952.26298	12602.86227	7609.426774	4993.4355	5.044171412	2.213822198	10735.46013
629000	9004	4997	2997	2000	-42834.32966	12756.12617	7712.870358	5043.25581	5.105513775	2.70195506	10790.14223
630000	9004	4997	2997	2000	-42798.28103	12889.99554	7929.366402	4960.629139	5.159093673	2.335314286	10842.38853
631000	9004	4997	2997	2000	-42760.86477	13047.97238	7971.03104	5076.941335	5.222322343	2.057503783	10851.33541
632000	9004	4997	2997	2000	-42608.42357	12804.55866	7813.937822	4990.620839	5.124898403	1.981761841	10918.67183
633000	9004	4997	2997	2000	-42386.34118	12669.08903	7742.433512	4926.655518	5.070678019	2.64495037	10892.75523
634000	9004	4997	2997	2000	-41999.27494	12173.65617	7376.117219	4797.538947	4.872385898	2.529636779	10905.51409
